Pore Volume of Water Injected,Pore Volume of Oil Produced,WaterCut,n,m,,
0.4,0.08525,0.02809,1.5,4,,
0.5,0.0828,0.02178,1.5,4,,
0.6,0.08084,0.01759,1.5,4,,
0.7,0.07922,0.01487,1.5,4,,
0.8,0.07785,0.01293,1.5,4,,
0.9,0.07663,0.01139,1.5,4,,
1,0.07555,0.01019,1.5,4,,
1.1,0.07459,0.00924,1.5,4,,
1.2,0.07371,0.00846,1.5,4,,
1.3,0.07289,0.00779,1.5,4,,
1.4,0.07214,0.00723,1.5,4,,
1.5,0.07145,0.00676,1.5,4,,
1.6,0.0708,0.00634,1.5,4,,
1.7,0.07018,0.00595,1.5,4,,
1.8,0.06959,0.00561,1.5,4,,
1.9,0.06905,0.00531,1.5,4,,
2,0.06854,0.00506,1.5,4,,
2.1,0.06805,0.00482,1.5,4,,
2.2,0.06758,0.00461,1.5,4,,
2.3,0.06713,0.00441,1.5,4,,
2.4,0.06669,0.00422,1.5,4,,
2.5,0.06628,0.00405,1.5,4,,
2.6,0.06587,0.00389,1.5,4,,
2.7,0.0655,0.00376,1.5,4,,
2.8,0.06513,0.00362,1.5,4,,
2.9,0.06478,0.00351,1.5,4,,
3,0.06444,0.00339,1.5,4,,
3.1,0.0641,0.00329,1.5,4,,
3.2,0.06379,0.00319,1.5,4,,
3.3,0.06347,0.00309,1.5,4,,
3.4,0.06317,0.003,1.5,4,,
3.5,0.06287,0.00292,1.5,4,,
3.6,0.06258,0.00284,1.5,4,,
3.7,0.0623,0.00276,1.5,4,,
3.8,0.06203,0.00268,1.5,4,,
3.9,0.06176,0.0026,1.5,4,,
4,0.0615,0.00254,1.5,4,,
4.1,0.06124,0.00248,1.5,4,,
4.2,0.061,0.00242,1.5,4,,
4.3,0.06076,0.00237,1.5,4,,
4.4,0.06054,0.00232,1.5,4,,
4.5,0.06031,0.00227,1.5,4,,
4.6,0.06009,0.00222,1.5,4,,
4.7,0.05988,0.00218,1.5,4,,
4.8,0.05967,0.00214,1.5,4,,
4.9,0.05946,0.00209,1.5,4,,
0.1,0,0,1.5,3.5,8,
0.2,0,0,1.5,3.5,,
0.3,0.04375,-0.82081,1.5,3.5,,
0.4,0.0709,0.03809,1.5,3.5,,
0.5,0.06764,0.02844,1.5,3.5,,
0.6,0.06511,0.02237,1.5,3.5,,
0.7,0.06308,0.01846,1.5,3.5,,
0.8,0.06139,0.0157,1.5,3.5,,
0.9,0.05993,0.01359,1.5,3.5,,
1,0.05865,0.01195,1.5,3.5,,
1.1,0.05753,0.01069,1.5,3.5,,
1.2,0.05652,0.00964,1.5,3.5,,
1.3,0.05559,0.00877,1.5,3.5,,
1.4,0.05475,0.00805,1.5,3.5,,
1.5,0.05399,0.00744,1.5,3.5,,
1.6,0.05327,0.0069,1.5,3.5,,
1.7,0.05261,0.00643,1.5,3.5,,
1.8,0.05198,0.00601,1.5,3.5,,
1.9,0.05139,0.00564,1.5,3.5,,
2,0.05085,0.00533,1.5,3.5,,
2.1,0.05034,0.00504,1.5,3.5,,
2.2,0.04985,0.00479,1.5,3.5,,
2.3,0.04938,0.00455,1.5,3.5,,
2.4,0.04893,0.00433,1.5,3.5,,
2.5,0.0485,0.00413,1.5,3.5,,
2.6,0.0481,0.00394,1.5,3.5,,
2.7,0.04771,0.00378,1.5,3.5,,
2.8,0.04734,0.00364,1.5,3.5,,
2.9,0.047,0.0035,1.5,3.5,,
3,0.04666,0.00337,1.5,3.5,,
3.1,0.04632,0.00325,1.5,3.5,,
3.2,0.04601,0.00314,1.5,3.5,,
3.3,0.0457,0.00303,1.5,3.5,,
3.4,0.04541,0.00293,1.5,3.5,,
